TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-ct-gb,11174,mcÂ² Robotics,1,10,230,140,5,WC,1.00,74.4,66.6,68.6,59.9,25.9,22.7,0.0,0.0,37.8,33.2,10.9,9.3,-0.2,1.2,6.1,5.3,
1617velv-ct-gb,130,Blazing Spirts,2,9,150,123,5,SC,0.90,38.9,39.4,22.9,25.6,0.4,3.5,0.0,0.0,7.2,9.2,14.7,12.5,16.7,14.1,-0.7,-0.5,
1617velv-ct-gb,4286,Dragonoids,3,8,200,125,5,W1,0.80,70.1,61.1,64.5,56.2,42.1,35.2,0.0,0.0,29.4,25.5,-7.1,-4.6,5.6,4.8,-0.0,-0.1,
1617velv-ct-gb,7034,Singularity Technology,4,8,180,140,5,FC,0.80,42.2,40.0,23.9,24.2,12.2,11.8,0.0,0.0,6.5,7.6,2.8,3.0,20.8,17.3,-2.5,-1.7,
1617velv-ct-gb,40,HAX Robotics,5,8,130,120,5,S1,0.80,61.4,55.0,50.8,45.3,21.6,19.6,0.0,0.0,39.2,34.9,0.9,0.7,-0.4,-0.4,11.0,9.9,
1617velv-ct-gb,4774,Fairfield Prep JesuBots,6,7,128,100,5,SC,0.70,15.7,18.7,19.8,19.7,17.3,16.1,0.0,0.0,7.7,8.3,-0.3,-0.1,-8.9,-5.8,4.8,4.6,
1617velv-ct-gb,12377,Hopkins Robotics,7,5,135,85,5,S1,0.50,4.8,9.0,12.0,13.7,2.3,3.2,0.0,0.0,9.5,10.4,-3.2,-2.2,-3.8,-2.6,-3.4,-2.3,
1617velv-ct-gb,7596,Metal Storm,8,5,115,85,5,,0.50,29.6,27.2,20.5,18.2,1.2,1.9,0.0,0.0,12.2,11.0,4.1,3.3,12.2,10.8,-3.1,-2.0,
1617velv-ct-gb,11569,Project Phoenix,9,4,205,105,5,,0.40,30.4,31.3,18.4,20.5,14.4,14.9,0.0,0.0,1.8,4.6,8.3,6.4,5.9,5.3,6.1,5.3,
1617velv-ct-gb,8643,TKG (TechKnow Geeks),10,4,160,50,5,F1,0.40,30.0,26.9,35.9,30.5,15.8,13.5,0.0,0.0,15.8,13.6,-0.2,0.5,-1.4,-0.9,-4.5,-2.9,
1617velv-ct-gb,8699,The League of Extraordinary Roboticist,11,4,140,105,5,,0.40,29.4,28.7,16.7,17.5,10.8,9.5,0.0,0.0,24.4,22.4,-4.7,-2.8,-1.2,-0.6,13.8,11.6,
1617velv-ct-gb,10820,Falconeers,12,4,128,105,5,,0.40,15.5,17.9,2.5,6.6,3.8,4.6,0.0,0.0,3.6,5.7,0.1,0.9,7.9,6.5,5.1,4.6,
1617velv-ct-gb,8983,Mechwarriors,13,4,123,80,5,,0.40,4.6,9.5,10.8,13.8,-8.1,-3.9,0.0,0.0,11.5,12.8,2.4,1.2,-1.2,-0.8,-5.1,-3.7,
1617velv-ct-gb,10763,TECH LIONS,14,4,105,125,5,,0.40,28.0,28.4,33.6,31.3,5.6,7.0,0.0,0.0,12.7,12.5,10.4,8.6,-0.7,0.1,-4.9,-3.2,
1617velv-ct-gb,8152,Portland Cybernetics,15,4,78,40,5,,0.40,8.9,9.5,3.0,4.3,-2.7,-0.8,0.0,0.0,7.9,8.0,1.6,0.9,2.1,1.2,3.8,3.8,
1617velv-ct-gb,6762,N R G (Northwestern Robotics Gearheads),16,2,105,90,5,,0.20,4.3,8.1,2.6,5.5,9.4,8.6,0.0,0.0,1.7,3.5,-3.2,-2.0,-3.5,-2.2,5.2,4.6,
1617velv-ct-gb,10877,Cardinals,17,2,75,40,5,,0.20,3.5,6.8,1.2,4.6,0.1,1.3,0.0,0.0,7.1,7.8,-0.7,-0.4,-3.1,-2.0,5.3,4.1,
1617velv-ct-gb,5357,Highlanders,18,2,50,55,5,,0.20,4.1,7.7,-2.7,0.8,2.8,3.4,0.0,0.0,-5.9,-2.7,1.1,1.2,6.2,5.6,0.6,1.0,
1617velv-ct-gb,5678,Cardinal,19,0,120,55,5,,0.00,7.2,9.6,-7.2,-2.4,6.7,7.6,0.0,0.0,1.7,3.1,-0.3,-0.3,-0.9,-0.9,15.4,12.8,
